account_id,email,phone,first_name,last_name,dob,device_id,device_type,signup_ts,country,city,channel,engagement_count
1100367,prepha.crayev.p176559@brand-example.test,+999000176559,Prepha,Crayev,1944-03-26,KIOSK-DEVICE-1,tablet,08-08-2024 12:00:00,united kingdom,Newtown,APP,39
1097457,crasul.camnox.p138768@brand-example.test,,Crasul, 😊,1948-08-12,DEV-9c19b8cab78f,DESKTOP,2025-04-28T12:00:00+00:00,INDIA,metrocity,App,38
1094792,birmab.noxte.p046318@brand-example.test,+999000046318,Birmab,Noxte,1940-12-12,UNIVERSITY-LAB-1468,DESKTOP,2024/12/03 12:00:00,IN,Hillview,mobile app,92
1071045,,+999000226288,,Qurvex,1985-02-24,DEV-0cc1884da540,smartphone,06-08-2025 12:00:00,USA,Hill-View,mobile app,67
1109188,turbiv.risul.p199475@brand-example.test,+999000199475,Turbiv,Risul,1973-07-15,DEV-3919c30e1448,Kiosk,2025-03-09 17:30:00,GBR,NewTown,app,86
1083769,pavdri.shatur.p269571@brand-example.test,+999000269571,Pavdri,Shatur,1975-07-21,DEV-8a1c09ed2ca3,KIOSK,25-01-2025 12:00:00,india,Greenfield,App,81
1023169,birkor.nansul.p146281@brand-example.test,+999000146281,Birkor,Nansul,1983-12-15,DEV-7f7a917070e3,check-in kiosk,2026-02-08 17:30:00,Australia,NewTown,mobile app,106
1080137,shasul.yevjor.p201795@brand-example.test,+999000201795,Shasul,Yevjor,1983-12-03,DEV-9838792cbd32,pc,2026/02/25 12:00:00,United Kingdom,Hillview,APP,5
1001350,turdri.koryev.p160400@brand-example.test,+999000160400,Turdri,Koryev,1938-03-24,DEV-9f1bf24bbf37,smartphone,2025-02-19T12:00:00+00:00,Australia,New Town,App,42
1063196,zexvex.bivpre.p096607@brand-example.test,+999000096607,Zexvex,Bivpre,1968-04-19,DEV-8e590bf5189d,mob,2024-07-24 17:30:00,USA,Metrocity,APP,34
1087840,birpre.korjor.p276818@brand-example.test,+999000276818,Birpre,Korjor,1997-04-23,DEV-29f0ada9bd88,pc,1747569600000,U.S.,greenfield,app,75
1063432,jornox.lonqur.p211202@brand-example.test,+999000211202,Jornox,Lonqur,1990-08-01,KIOSK-DEVICE-1,DESKTOP,2025-10-11 17:30:00,UK,lake town,mobile app,118
