customer_id,app_account_ref,customer_email_address,contact_no,first,last,dob,device,device_type,line1,line2,city,postcode,country,updated_ts,channel
SC000218627,,"birtur.lekri.p225320@brand-example.test ""quoted, comma""
 multiline note",+999000225320,Birtur,Lekri,2000-12-07,KIOSK-DEVICE-1,Tablet,691 Market St,,NEWTOWN,76761,australia,1758196800000,Web
SC000256212,," ""quoted, comma""",+999000097945,Mabte,Fizbir,1965-08-11,DEV-e9607f3f4f1b,Kiosk,317 Market St,,Green-Field,81635,AU,28-08-2025 12:00:00,Web
SC000246176,,korpha.noxzex.p141532@brand-example.test,+999000141532,Korpha,Noxzex,1938-04-04,KIOSK-DEVICE-1,Tablet,630 Market St,Floor 2,metrocity,72901,australia,2026-03-03 17:30:00,Web
SC000237998,,raizex.seknan.p041641@brand-example.test,+999000041641,Raizex,Seknan,1988-10-01,DEV-e729b1a364ea,ipad,882 Lake St,Suite 143,Laketown,45160,india,1753185600000,web
SC000207095,,"dritur.raisha.p117448@brand-example.test ""quoted, comma""",+999000117448,Dritur,Raisha,1948-10-18,DEV-69a346b83ad5,Desktop,599 Lake Ave,,greenfield,30444,India,10-13-25 12:00,Web
SC000246740,001110903,jornan.phacra.p150550@brand-example.test,+999000150550,Jornan,Phacra,1970-04-28,DEV-bc571e8667d1,mobile,237 Lake Road,Floor 10,Hillview,73417,U.S.,08-12-2024 12:00:00,WEB
SC000268148,,turnox.lonwul.p282486@brand-example.test,+999000282486,Turnox,Lonwul,1983-05-10,KIOSK-DEVICE-1,Tablet,544 Vale Road,,greenfield,25566,GBR,07-31-25 12:00,Web
SC000210921,,raipre.jorcra.p056460@brand-example.test,+999000056460,Raipre,Jorcra hello नमस्ते यार,2001-08-14,KIOSK-DEVICE-1,Mobile,654 Lake Ave,,LAKETOWN,40311,USA,1773316800000,website
SC000219450,,,+999000192890,Birri,Korsek,2005-11-25,DEV-23f29b6545fa,desk,422 Market Road,,LAKETOWN,91130,united states,1761912000000,web
SC000269273,,"nantur.turcra.p227951@brand-example.test
 multiline note",0000000000,Nantur,Turcra,1966-05-07,KIOSK-DEVICE-1,MOBILE,721 Lake Road,,new town,35996,united kingdom,2026-03-29 17:30:00,Web
